Mean,Var,AbsMax,P2P,RMS,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor
2.639368284999999e-05,5.033825261910844e-05,0.0226808451,0.043430646899999995,0.007094994661421729,-0.023189674000370353,-0.5714537187668962,6.12130790402838,268.81412123286657,859.3285457319196
1.0335316625e-05,4.921787074396661e-05,0.0195082631,0.041705342,0.007015552548640512,-0.021998650098605084,-0.6559564386284857,5.944698113348427,678.7941582428793,1887.534151862522
-3.3513123525e-05,5.0178966621667596e-05,0.0187497865,0.040096268000000004,0.0070837906343366695,-0.027812690582869656,-0.6471181095063301,5.6602841712521395,211.373631856557,559.4759463710717
-1.9434526175000005e-05,5.0303078526397484e-05,0.0193889141,0.039185781,0.007092492948689132,0.00045596581641390676,-0.5709173770671754,5.524965803066819,364.94293119493204,997.65303899929
-2.276486275000004e-06,4.8681198693094194e-05,0.020461183,0.041221296399999996,0.00697719168974766,0.0067457442559899165,-0.6251304942034333,5.908006864792162,3064.895126480676,8988.054628179107
6.4191916925e-05,5.1655922926882514e-05,0.0195968598,0.041256554400000006,0.007187492158540492,-0.03353549365455663,-0.5563932052413629,5.740048613615135,111.96880390623251,305.28547422717435
-7.324812624999998e-05,5.032886047944998e-05,0.0212330725,0.0417716112,0.007094661779637493,0.014595245064375697,-0.611306800564086,5.887752298480161,96.85792856219983,289.87871208514366
2.9909599525000006e-05,4.741218975342573e-05,0.0232995562,0.0435896553,0.00688571596404974,-0.031181275226745533,-0.539614148521586,6.330446322151712,230.21759145568964,778.999270134828
1.2027220600000002e-05,5.1573263711141156e-05,0.020627575,0.0403956864,0.0071814628290604214,-0.010620752577378734,-0.6214204529964529,5.624994149734411,597.1007822921632,1715.0741377438437
-1.6660109199999998e-05,5.0195767504417676e-05,0.0197841246,0.0392866116,0.007084916729479339,0.00817968024523712,-0.5907754739532245,5.545105623688412,425.26232237897574,1187.514701284191
-4.7176919e-06,4.8386357527102515e-05,0.0209061578,0.0405322183,0.006956031899274143,-0.006690771160987781,-0.632017900185943,5.8269166799291865,1474.4565873990507,4431.437712157506
-3.0753740724999995e-05,4.9564182114913294e-05,0.0192388352,0.039941512,0.007040250557152208,-0.011520879970725373,-0.6379112468090997,5.673308311367316,228.923389193729,625.5770760387719
-1.5648483825000002e-05,5.278817452111579e-05,0.022383621,0.0453256015,0.007265563942059951,-0.014325458675072966,-0.5524038683783923,6.238414782590045,464.2982683378241,1430.4019002940047
6.2813546625e-05,4.930355976731445e-05,0.0197951309,0.0399862453,0.007021930312168722,-0.010744293122232079,-0.6072679537440218,5.694480509256187,111.79006264508509,315.1411114894995
-3.208724245e-05,4.779962357303091e-05,0.0190397892,0.0411516856,0.006913801643391206,-0.0044859993013914076,-0.6041879384783635,5.952106774618888,215.46886287173635,593.3756766312589
-4.460291074999993e-06,5.145132779849727e-05,0.0189417303,0.0417813175,0.007172959479370687,-0.019192199822668465,-0.6065794087998553,5.824836682845119,1608.1819232774396,4246.747573531405
5.8715335925000005e-05,5.033402484535933e-05,0.0208823718,0.040988685600000005,0.007094890579567241,0.01963211629238206,-0.5739300765103299,5.777211803384873,120.83539109151815,355.65447205605847
-3.5872010524999984e-05,4.916053366383645e-05,0.0180163346,0.0392629485,0.007011549077413318,-0.033881152599598154,-0.6087627151032593,5.599753787145248,195.4601644791227,502.23933190039696
-4.745814800000015e-06,4.938861400644495e-05,0.0227977745,0.0447612386,0.0070277049261620985,-0.0029903920355109147,-0.5954188917902741,6.369254126388681,1480.8215706525414,4803.764044901189
-1.16832197e-05,4.9372522159380995e-05,0.0202538557,0.041480314000000004,0.007026568056811492,-0.0359401082069064,-0.5911043964114926,5.903353339015817,601.4239428204446,1733.585109248609
2.2373411149999996e-05,4.975770128037246e-05,0.0216964558,0.0423172135,0.007053949379595732,-0.0071989969059688096,-0.6121263737986502,5.999080971917215,315.28269570980166,969.7428637295661
7.602671624999998e-06,5.008980819896504e-05,0.0201656092,0.0396760423,0.007077419444937605,-0.012829764993314582,-0.5620745251724886,5.606004082233646,930.9121574664362,2652.4372213695347
-5.64455076e-05,4.9154027698495296e-05,0.02211296,0.0430992004,0.007011220563769447,-0.02892758978964731,-0.6239000010827782,6.147175089985837,124.2121979565553,391.75766044488546
3.970917865000001e-05,4.9254401269933676e-05,0.0176990181,0.039647229000000006,0.007018260332076794,-0.04482780514655437,-0.644426356558196,5.649153369075421,176.74151344041442,445.71604605576493
4.208480399999989e-06,5.1420257013340513e-05,0.0203647669,0.0424642525,0.007170793172630761,-0.040130549390700765,-0.6007685476852296,5.921834792568848,1703.8913078057296,4838.983424991134
5.529413099999994e-06,5.1156200660109984e-05,0.0202071667,0.0422465764,0.00715235843862143,-0.030690084089427763,-0.5839106042664062,5.9066637616868025,1293.51132014742,3654.486712161192
3.1478109175000006e-05,4.910860857218199e-05,0.0182304736,0.0388577413,0.007007824159005365,-0.02291030079550997,-0.5735647062892157,5.544908150993783,222.6253209824622,579.1476704858337
-2.2539155049999985e-05,5.19589435145401e-05,0.0208338425,0.0412207209,0.007208290471953145,-0.041613176170020645,-0.588826049322976,5.718515514931921,319.81192089776897,924.3399964986716
-5.2911483649999995e-05,5.0699998918746375e-05,0.0210694429,0.0419720281,0.007120589760957196,-0.015490077706204586,-0.5662042457869014,5.894459519369621,134.57550742781328,398.201703043721
2.50440956e-05,4.882374958462415e-05,0.0191500988,0.0399642829,0.00698744422456083,-0.007103303639085085,-0.5888853770865037,5.719442133008483,279.0056521170934,764.6552347452308
-1.460155634999999e-05,5.176144809317339e-05,0.0220407769,0.0426707268,0.007194557755597019,0.017494583776999095,-0.5869294279533395,5.930972861647296,492.72540427493703,1509.4813437473065
3.018630765e-05,5.0725990661865705e-05,0.0214322507,0.0438396558,0.007122282069325469,0.0011520891067434572,-0.5320787575440398,6.155282165643284,235.94412910336413,709.9990813218919
-4.9399127775e-05,4.829495357221139e-05,0.0179385692,0.0374645554,0.006949632641085158,-0.004068171483551246,-0.6688982167671531,5.390868458070045,140.6833066514636,363.13534282842915
3.9520806475e-05,4.8089627933689996e-05,0.0196948946,0.039036264700000003,0.006934781166542639,-0.010243637509446566,-0.676032348518091,5.6290550145018745,175.4716511397466,498.3424266015057
2.2183899025000005e-05,5.222025006053844e-05,0.0197748169,0.0424467325,0.007226392058691139,-0.04111373655902095,-0.5462681152946991,5.873848547830943,325.74941179399536,891.4040258529348
-2.4209510875000007e-05,4.944863189427738e-05,0.0192395858,0.0387282464,0.007032013793693405,0.019648123964872935,-0.6300704419816889,5.507419003462857,290.46492636722485,794.7118758135585
1.0183864174999998e-05,4.79413193455878e-05,0.0205705911,0.0421178378,0.006923974513000255,-0.02934184751808932,-0.6125968833758115,6.0828990229413415,679.8965887622178,2019.920017246303
2.3122023475000013e-05,5.264669853415072e-05,0.0233920552,0.0453040824,0.007255841313184875,-0.001184804997065186,-0.5521177104110628,6.24380832553162,313.80650231715373,1011.6785507674946
-5.59870525e-05,5.0398992768822026e-05,0.020701902,0.0424773675,0.0070994455641880715,7.855464544228234e-05,-0.5543154632468044,5.983195041915633,126.80513167197134,369.76231245608085
2.787505124999991e-06,4.828508967963817e-05,0.0190593731,0.0390851628,0.006948747905185728,-0.010010660909760494,-0.641636574526967,5.624777777710346,2492.819777393504,6837.430693513096
7.200285750000078e-07,4.907737558724093e-05,0.0193352662,0.0401217788,0.007005524684538761,-0.02336771185782479,-0.5993460585898602,5.727162576209178,9729.509255294048,26853.4706417725
3.5043478750000006e-06,5.2124364058235114e-05,0.0226890072,0.0434069521,0.007219721347717589,0.002570873103309206,-0.6251870308714409,6.012275267898322,2060.2182218332387,6474.530500200411
4.155760674999994e-06,4.8040515016824835e-05,0.0197411049,0.038685470799999996,0.006931127778880694,-0.009305145647095526,-0.6367460982030964,5.581410707486236,1667.8361245816216,4750.29878856054
9.895763175000002e-06,5.036169623841904e-05,0.0203963723,0.041360022499999996,0.007096604410881851,0.0008115435106881828,-0.6201962136575254,5.828142602478872,717.1356352595666,2061.121708280978
-1.8168665250000103e-06,5.0352957637980696e-05,0.0199793074,0.0423348117,0.007095982027808741,-0.02489378741117301,-0.6134851679858864,5.966025778263296,3905.6154814722568,10996.574115426496
2.0949054249999976e-06,4.9770315903135254e-05,0.0189095996,0.0415514633,0.007054808310065115,-0.05007703734119912,-0.5749131968741379,5.889807557310722,3367.6022916715315,9026.469345268903
-1.78466803e-05,4.889052806863215e-05,0.0195547938,0.040012141700000003,0.006992198979765231,-0.013136596946755973,-0.6213051939252217,5.722397462628194,391.79269546086005,1095.710433048997
6.635536925000001e-06,4.9435229041090744e-05,0.0197275709,0.040104771,0.007031022192500954,-0.015809822959899734,-0.5810550282416824,5.70397445804884,1059.6010951293067,2973.018027474845
1.5725750099999992e-05,5.026096928951911e-05,0.0233826246,0.0454993099,0.007089514552403099,-0.005876018263588227,-0.552715837754532,6.417831512113522,450.8220280317886,1486.90043090536
2.0016034400000002e-05,4.855263960128651e-05,0.0201540552,0.0426542163,0.00696800116553661,-0.028164766774016976,-0.6126690195110491,6.121442187892511,348.12096273858367,1006.8955117303354
-5.0749653550000005e-05,5.19816653444633e-05,0.0204604492,0.043043498,0.007210009769188857,-0.03491666700042717,-0.5976249743905377,5.969963894354404,142.0701278696484,403.1643128330282
4.535156325000017e-06,4.918721189679251e-05,0.0201922804,0.0412696078,0.007013360996300951,-0.015349238830498917,-0.5803822222035242,5.884426571192725,1546.4430537134626,4452.389058496219
2.6485249499999854e-06,4.921935398765028e-05,0.0203074235,0.042052902200000006,0.007015651145997402,-0.005376222016040948,-0.6654963244558738,5.994155257276753,2648.8899589174875,7667.446553599622
