Mean,Var,AbsMax,P2P,RMS,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor
-4.273454925000001e-06,4.493603052300862e-05,0.0242950208,0.0511676743,0.006703435595679701,0.020516308786301698,-0.16698817654920983,7.633052271431842,1568.6220431305237,5685.100516182464
3.4668873425e-05,4.547515512174476e-05,0.0213473458,0.0430246238,0.00674361602202626,0.024837447585700296,-0.22709585021827916,6.380052431732665,194.51500310833245,615.7496246937825
-6.392887342499998e-05,4.640711861587062e-05,0.0234762877,0.046554937899999996,0.006812577009966784,-0.05039909145495923,-0.20958623208338834,6.83367510295887,106.56494702599689,367.22511194479114
-3.0232518499999995e-06,4.863422207403336e-05,0.0241162665,0.0472142491,0.00697382471919715,-0.0006315647695938369,-0.06465805798567148,6.770208744999181,2306.729662365757,7976.929378212405
9.86125311e-05,4.902832318453215e-05,0.0241485834,0.0493129771,0.007002717159490453,0.03489370835709246,-0.00405624993960263,7.041977560548543,71.01244721514357,244.88351663453045
-4.555790675000001e-05,4.833549062375425e-05,0.0240932312,0.048671835999999996,0.006952522286668466,-0.07427949645879832,-0.026344631815105934,7.000601219693858,152.60846651319125,528.8485121191393
-5.973249867499999e-05,5.2067161778490365e-05,0.0240023434,0.045323722,0.007216005110162289,0.014607956046866545,-0.30600149652565944,6.280999155082452,120.80534500028246,401.8305601209642
5.3839534724999994e-05,4.390437580582831e-05,0.0235980414,0.0452460982,0.006626256446993862,0.01735406986688209,-0.1792860568505148,6.828304724083963,123.07417738357624,438.3032193820654
1.9940943374999997e-05,5.173039055854209e-05,0.0255344249,0.0491669867,0.007192411848591878,-0.01543318358538532,-0.049801745285017684,6.835952631053219,360.6856362477324,1280.5023523617526
-6.0002751200000003e-05,4.333327582186118e-05,0.0214166194,0.0441338904,0.006583074976939944,-0.05144467815313745,-0.0135530497545151,6.7041451836106924,109.7128855808189,356.927290360646
3.1275667449999995e-05,4.8630083636947716e-05,0.021128051,0.042545003799999995,0.006973597479373334,-0.005879714702585102,-0.240729856825185,6.100868873754268,222.9719794316759,675.5427692718994
-1.0945253799999991e-05,4.4986190540322445e-05,0.0227724686,0.0468703918,0.00670718348779152,0.020336051424666938,-0.1237103824889716,6.988088500234702,612.7937835293984,2080.5793100932956
-1.2279511775000003e-05,4.433966762131438e-05,0.0238368995,0.0459371376,0.006658815090368844,0.0017342691206351758,-0.17971953423414133,6.898695485093499,542.2703453019689,1941.1927718925938
2.2937084149999995e-05,4.804250669385354e-05,0.0276811086,0.0513545387,0.0069313081596249155,0.06179847893797319,-0.010825939790513495,7.409068752582922,302.18785065689866,1206.827703947714
1.5989439924999995e-05,4.15081201291277e-05,0.0193403587,0.041403852399999996,0.006442699418048064,-0.050966867957019296,-0.14524475692335903,6.426475878110121,402.9346523873359,1209.5707411089952
