Mean,Var,AbsMax,P2P,RMS,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor
3.150128897500001e-05,0.0002805492686234948,0.073027648,0.132303793,0.01674963465137975,0.05727860590037196,0.27747781058866705,7.898906200267566,531.7126757788408,2318.243169603506
0.00011210737622500001,0.0002977297912467533,0.0692702681,0.1314752773,0.017255212525800936,0.08875018317239006,0.22763504772706344,7.619452794534462,153.91683497408457,617.892153331412
-4.32299107e-05,0.00029971708577223883,0.0691615939,0.1397269443,0.01731239309273612,0.07047231849298188,0.37294997825510023,8.070920268014603,400.472561992503,1599.8551183683107
-4.594238469999999e-05,0.0002975406118811036,0.0648751184,0.12879971410000002,0.01724942673203419,0.12606879625171477,0.07644880865506964,7.466898239626944,375.45780099730416,1412.097321974669
6.32219708e-05,0.00027471598767600134,0.0618476495,0.1223190166,0.016574679022339847,0.008267805822501974,0.07886677016699695,7.3798724207651185,262.16644012527127,978.2619668034771
-1.4679059525000007e-05,0.0002948239746267595,0.0751394331,0.1384806335,0.017170445250532917,0.017061281780086385,0.28997227580350193,8.065057805982171,1169.7237974469558,5118.817930537683
2.2687732300000002e-05,0.0002844526845302913,0.0759091452,0.1555019021,0.016865740400690624,-0.005171531378477415,0.2535841674654611,9.219986695255457,743.3859046675468,3345.8233813874817
4.5364889149999974e-05,0.0003088176106401058,0.065227665,0.13066226990000002,0.01757326573557896,-0.0014814963485502487,0.15253467608306126,7.435286751253083,387.375921441637,1437.8446905121566
-0.00012439852519999998,0.0002720774542202669,0.0664578751,0.12566240509999999,0.016495239592480605,0.02134742387536623,0.08450828092703988,7.618101234327236,132.59996102012153,534.2336253034614
7.756008217499995e-05,0.00031113229940934236,0.0657951161,0.1299359277,0.017639113213982406,0.06392400514874523,-0.007859442046659115,7.366352612159702,227.42514859877295,848.3115831613678
6.154426090000001e-05,0.0002992181621055766,0.0629354194,0.1294753924,0.017298033119451064,-0.04854849594255051,0.14974119371572225,7.4849777142818175,281.0665505847526,1022.6041954141004
-5.0296508174999986e-05,0.0002776291642184889,0.061878074,0.1286248006,0.016662283575705455,0.03490729099310921,0.04916403653314738,7.719518157015536,331.2811203062301,1230.2658026418753
-3.30547437e-05,0.0003036684214525284,0.0784161985,0.1456398815,0.017426115862940014,0.14962482275291833,0.3197373055376822,8.35756416665008,527.1895622938989,2372.3130093427408
2.259583050000017e-06,0.00031233835160078197,0.0648550764,0.1413744465,0.017673096975530274,0.07056578783921619,0.1999786590585373,7.99941553513476,7821.39739255441,28702.23176793591
-8.140026902500002e-05,0.0002938309082838626,0.0602496453,0.1296451576,0.017141689948416982,0.05263452858108875,0.1612057813706791,7.563149140494902,210.58517562334282,740.1651864503772
2.9867131424999993e-05,0.00028617769616042584,0.0645256713,0.1231150925,0.016916813772278893,0.14774357129390575,0.1416378438654804,7.277676172196518,566.4023615645538,2160.42412583317
0.0001223084338,0.0002961244289403723,0.0702928975,0.1365635916,0.01720870094729264,0.16468001737659374,0.2136000304196446,7.935729258023097,140.6992176470225,574.7183192202729
-6.395292412500002e-05,0.0002775219953132967,0.0618504211,0.1254733428,0.0166591141808261,0.06953862129559876,0.005248220076289556,7.531813602935397,260.4902654375085,967.1242080989049
-0.00014676781934999997,0.00026846278885872386,0.0656518564,0.1435840801,0.016385491437595663,0.07669039501157698,0.11613202730375871,8.762879077923397,111.64226265787103,447.3177886729978
6.0226250025e-05,0.00031727336786693827,0.0746147931,0.14366526159999998,0.017812270912719995,0.04538000051359145,0.20866780310020117,8.065521926090097,295.7559354156385,1238.9081682659519
-2.518240217499999e-05,0.0003039755454764657,0.0681011677,0.1230550148,0.017434912664818426,0.137124319946242,0.020747599293741814,7.057965655790771,692.345096534399,2704.3157847589273
-1.884730557500002e-05,0.0002991883063351113,0.0736636221,0.1307291537,0.017297070895271213,0.03318249858784045,0.17226977746074024,7.5578781223438005,917.7476762628015,3908.4431356443333
-6.331062762499997e-05,0.0003022711571405591,0.0719138682,0.1462263093,0.01738606238848029,-0.022585591442007388,0.2710116186286129,8.410547830363651,274.6152271852525,1135.889358512737
2.152439489999998e-05,0.0003013790351529962,0.0659006909,0.13450854280000002,0.0173602850913391,-0.027834424098079166,0.10235981482472267,7.748060708237171,806.5399827494855,3061.6744956672424
6.174696949999999e-05,0.0002933540682351236,0.0666178912,0.1287744306,0.017127693391795804,-0.052305628523536235,0.2005833331970832,7.5184922834783565,277.3851661140359,1078.8851945195465
-8.863693349999969e-06,0.00030743444235868146,0.0692515448,0.1392867565,0.01753381079297202,0.10442917845402994,0.1508689353299788,7.943895262964144,1978.1608073086238,7812.944566725138
-2.6183368525e-05,0.0003073178938838096,0.0888504013,0.1495320946,0.01753050425551407,0.08356732969768328,0.31706763598890353,8.529822783218911,669.5282250935691,3393.3907783929803
-7.273277887500001e-05,0.00029978967460975495,0.0609141253,0.1281698383,0.017314588203791583,0.03858569472483907,0.06172696922958343,7.402419092585356,238.0575645755097,837.5058157022738
2.8714600175000037e-05,0.00028995985011598006,0.0611569211,0.115617726,0.017028231694578316,0.0390547572338714,-0.047832837989429056,6.789767021834215,593.0164999965316,2129.819698943446
0.00013152118745000002,0.0002914941986948945,0.0851739496,0.15928839150000002,0.017073707755424498,0.1293843792381914,0.3513543774652579,9.329455194018559,129.8171654807736,647.6063001817126
-1.1993099725000002e-05,0.00029534922422354433,0.0541569963,0.1216852441,0.017185731525250388,-0.07243880306353137,-0.01891150204692771,7.080597292074078,1432.9682833726613,4515.679644279786
